ts,symbol,price
1780981200,BTC-USD,63349.29
1780984800,BTC-USD,63310.99
1780988400,BTC-USD,63194.95
1780992000,BTC-USD,62843.25
1780995600,BTC-USD,62715.01
1780999200,BTC-USD,62792.68
1781002800,BTC-USD,62723.99
1781006400,BTC-USD,62644.01
1781010000,BTC-USD,62277.13
1781013600,BTC-USD,61548.48
1781017200,BTC-USD,61131.93
1781020800,BTC-USD,61392.01
1781024400,BTC-USD,61689.98
1781028000,BTC-USD,61785.15
1781031600,BTC-USD,62096.04
1781035200,BTC-USD,62148.82
1781038800,BTC-USD,61763.48
1781042400,BTC-USD,61722.21
1781046000,BTC-USD,61720.02
1781049600,BTC-USD,61922.0
1781053200,BTC-USD,61724.65
1781056800,BTC-USD,61306.23
1781060400,BTC-USD,61544.44
1781064000,BTC-USD,61289.76
1781067600,BTC-USD,61353.3
1781071200,BTC-USD,61469.83
1781074800,BTC-USD,61676.49
1781078400,BTC-USD,61260.81
1781082000,BTC-USD,61336.69
1781085600,BTC-USD,61382.7
1781089200,BTC-USD,61035.63
1781092800,BTC-USD,61569.52
1781096400,BTC-USD,62147.5
1781100000,BTC-USD,62212.37
1781103600,BTC-USD,62635.01
1781107200,BTC-USD,62226.25
1781110800,BTC-USD,61973.97
1781114400,BTC-USD,61894.81
1781118000,BTC-USD,61947.6
1781121600,BTC-USD,61808.85
1781125200,BTC-USD,61357.77
1781128800,BTC-USD,61384.99
1781132400,BTC-USD,61510.42
1781136000,BTC-USD,61824.73
1781139600,BTC-USD,62210.76
1781143200,BTC-USD,62143.26
1781146800,BTC-USD,62691.99
1781150400,BTC-USD,62730.21
1781154000,BTC-USD,62619.95
1781157600,BTC-USD,62797.44
